No. Urut,Genre,Judul Lagu,Nama Album,Penyanyi 1,Penyanyi 2,Penyanyi 3,Penulis Lagu,Komposer,Penyusun Musik (Arranger),Produser Musik,Pencampuran Audio (Audio Mixing),Penguasaan Audio (Audio Mastering),Publisher,Aggregator,Release Date Aggregator,Link
1,Pop,Sesungguhnya,Randomly Mixed,Asyhilla,,,"Nano Suwarno, Steven Chan",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,25 April 2024,https://youtu.be/fajVFFTt-mQ
2,Pop,Cinta Kita Berdua,Randomly Mixed,Asyhilla,Nannouz,,"Nano Suwarno, Steven Chan",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,25 April 2024,https://youtu.be/mK9Rk3ya5ao
3,Pop,Brotherly Bond,Randomly Mixed,Nannouz,Adilisius,,"Adi Subari, Nano Suwarno, Johanna Kakkuri",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,8 April 2024,https://youtu.be/bgUvT3Jiz3E?feature=shared
4,Pop,Taqabalallahu Minna Wa Minkum,Songs of Faith,TUTI,Dzaki,Andin,Nano Suwarno,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,11 Maret 2024,https://youtu.be/eUtoI5qLttM?feature=shared
5,Pop,Izinkan Aku Kembali,Songs of Faith,WHO,,,Nano Suwarno,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,11 Maret 2024,https://youtu.be/DemdcRYNkUM?feature=shared
6,Pop,Kami Datang Menjelang,Songs of Faith,Nannouz,Adilisius,TUTI,"Adi Subari, Nano Suwarno",Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,4 Maret 2024,https://youtu.be/fGZnsOFESJo?feature=shared
7,Pop,Wahai Junjungan Kami,Songs of Faith,Nannouz,WHO,Adilisius,Adi Subari,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,26 Februari 2024,https://youtu.be/1Drr2LST9oQ?feature=shared
8,Pop,Puasa Kita,Songs of Faith,Nannouz,Dzaki,Andin,Nano Suwarno,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,21 Februari 2024,https://youtu.be/F-w8nOkGdfA
9,Pop,Ø£Ù…ÙŠ,Songs of Faith,Nannouz,SRI,,Dynta Nabila,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,5 Januari 2024,https://youtu.be/llqnp6XOytU?feature=shared
10,Pop,Di Bait-Mu,Songs of Faith,Nannouz,,,Nano Suwarno,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Alfath Flemmo,Flemmo Music Global,Amuse,6 Desember 2023,https://youtu.be/uKzb4buSIgM?feature=shared
